Active_subscribers,Active_subscribers_missing,Active_subscribers_imputed_median,Active_subscribers_log1p,Active_subscribers_zscore,Active_subscribers_iqr_outlier,CHURN,churn_binary
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,Yes,1
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,Yes,1
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,Yes,1
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
10,0,10,2.3978952727983707,0.3331318714363319,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
10,0,10,2.3978952727983707,0.3331318714363319,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,Yes,1
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
8,0,8,2.1972245773362196,0.033736442245824845,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,Yes,1
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
12,0,12,2.5649493574615367,0.6325273006268389,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,Yes,1
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,Yes,1
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,Yes,1
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
7,0,7,2.0794415416798357,-0.11596127234942867,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,Yes,1
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
1,0,1,0.6931471805599453,-1.0141475599209497,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
8,0,8,2.1972245773362196,0.033736442245824845,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
6,0,6,1.9459101490553132,-0.2656589869446822,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
4,0,4,1.6094379124341003,-0.5650544161351893,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
2,0,2,1.0986122886681098,-0.8644498453256962,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
3,0,3,1.3862943611198906,-0.7147521307304427,0,No,0
5,0,5,1.791759469228055,-0.4153567015399357,0,No,0
8,0,8,2.1972245773362196,0.033736442245824845,0,No,0
