variant,model,scenario,fn_cost,fp_cost,tp_benefit,retention_rate,cost_ratio,theoretical_threshold,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.12,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.13,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.14,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.15,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.16,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.17,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.18,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.19,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.2,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.21,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.22,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.23,-111000.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.24,-110880.0,109,1578,0,1,1.0,0.06461173681090694,0.12138084632516703
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.25,-110640.0,109,1576,0,3,1.0,0.06468842729970327,0.12151616499442586
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.26,-110400.0,109,1574,0,5,1.0,0.0647653000594177,0.12165178571428571
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.27,-110040.0,109,1571,0,8,1.0,0.06488095238095239,0.1218557853549469
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.28,-109680.0,109,1568,0,11,1.0,0.06499701848539058,0.12206047032474804
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.29,-108840.0,109,1561,0,18,1.0,0.06526946107784432,0.1225407532321529
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.3,-114480.0,105,1544,4,35,0.963302752293578,0.06367495451788963,0.11945392491467577
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.31,-112320.0,105,1526,4,53,0.963302752293578,0.06437768240343347,0.1206896551724138
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.32,-109320.0,105,1501,4,78,0.963302752293578,0.06537982565379825,0.12244897959183673
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.33,-108600.0,103,1463,6,116,0.944954128440367,0.06577266922094509,0.12298507462686567
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.34,-110640.0,99,1416,10,163,0.908256880733945,0.06534653465346535,0.12192118226600986
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.35,-110400.0,96,1366,13,213,0.8807339449541285,0.06566347469220246,0.12221514958625079
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.36,-108360.0,93,1301,16,278,0.8532110091743119,0.0667144906743185,0.12375249500998003
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.37,-107640.0,90,1247,19,332,0.8256880733944955,0.06731488406881077,0.12448132780082988
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.38,-104280.0,88,1187,21,392,0.8073394495412844,0.06901960784313725,0.12716763005780346
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.39,-104280.0,85,1139,24,440,0.7798165137614679,0.06944444444444445,0.1275318829707427
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.4,-102000.0,83,1088,26,491,0.7614678899082569,0.07087959009393681,0.1296875
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.41,-97560.0,82,1035,27,544,0.7522935779816514,0.07341092211280215,0.13376835236541598
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.42,-96720.0,80,996,29,583,0.7339449541284404,0.07434944237918216,0.1350210970464135
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.43,-100800.0,76,966,33,613,0.6972477064220184,0.07293666026871401,0.13205907906168549
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.44,-97320.0,75,921,34,658,0.6880733944954128,0.07530120481927711,0.13574660633484162
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.45,-98520.0,72,883,37,696,0.6605504587155964,0.07539267015706806,0.13533834586466165
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.46,-94800.0,72,852,37,727,0.6605504587155964,0.07792207792207792,0.1393998063891578
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.47,-97320.0,69,825,40,754,0.6330275229357798,0.07718120805369127,0.13758723828514458
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.48,-97560.0,66,779,43,800,0.6055045871559633,0.07810650887573964,0.13836477987421383
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.49,-96000.0,64,734,45,845,0.5871559633027523,0.08020050125313283,0.14112458654906285
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.5,-87840.0,64,666,45,913,0.5871559633027523,0.08767123287671233,0.15256257449344457
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.51,-87480.0,61,615,48,964,0.5596330275229358,0.09023668639053255,0.1554140127388535
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.52,-104640.0,48,550,61,1029,0.44036697247706424,0.0802675585284281,0.13578500707213578
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.53,-106680.0,44,503,65,1076,0.4036697247706422,0.08043875685557587,0.13414634146341464
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.54,-105240.0,41,443,68,1136,0.3761467889908257,0.08471074380165289,0.13827993254637436
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.55,-104520.0,37,373,72,1206,0.3394495412844037,0.09024390243902439,0.14258188824662812
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.56,-106440.0,32,309,77,1270,0.29357798165137616,0.093841642228739,0.14222222222222222
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.57,-119520.0,22,258,87,1321,0.2018348623853211,0.07857142857142857,0.11311053984575835
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.58,-118560.0,20,218,89,1361,0.1834862385321101,0.08403361344537816,0.11527377521613832
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.59,-121560.0,16,179,93,1400,0.14678899082568808,0.08205128205128205,0.10526315789473684
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.6,-116760.0,16,139,93,1440,0.14678899082568808,0.1032258064516129,0.12121212121212122
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.61,-117000.0,14,109,95,1470,0.12844036697247707,0.11382113821138211,0.1206896551724138
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.62,-119880.0,11,85,98,1494,0.10091743119266056,0.11458333333333333,0.1073170731707317
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.63,-126360.0,6,59,103,1520,0.05504587155963303,0.09230769230769231,0.06896551724137931
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.64,-126360.0,5,43,104,1536,0.045871559633027525,0.10416666666666667,0.06369426751592357
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.65,-126120.0,4,25,105,1554,0.03669724770642202,0.13793103448275862,0.057971014492753624
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.66,-127080.0,3,17,106,1562,0.027522935779816515,0.15,0.046511627906976744
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.67,-126600.0,3,13,106,1566,0.027522935779816515,0.1875,0.048
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.68,-128400.0,2,12,107,1567,0.01834862385321101,0.14285714285714285,0.032520325203252036
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.69,-129600.0,1,6,108,1573,0.009174311926605505,0.14285714285714285,0.017241379310344827
with_billing_zip,BalancedBagging_original,small_business_customers,1200.0,120.0,720.0,0.6,10.0,0.14285714285714285,0.7,-131280.0,0,4,109,1575,0.0,0.0,0.0
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.05,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.06,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.07,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.08,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.09,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.1,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.11,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.12,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.13,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.14,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.15,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.16,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.17,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.18,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.19,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.2,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.21,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.22,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.23,987720.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.24,987840.0,109,1578,0,1,1.0,0.06461173681090694,0.12138084632516703
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.25,988080.0,109,1576,0,3,1.0,0.06468842729970327,0.12151616499442586
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.26,988320.0,109,1574,0,5,1.0,0.0647653000594177,0.12165178571428571
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.27,988680.0,109,1571,0,8,1.0,0.06488095238095239,0.1218557853549469
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.28,989040.0,109,1568,0,11,1.0,0.06499701848539058,0.12206047032474804
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.29,989880.0,109,1561,0,18,1.0,0.06526946107784432,0.1225407532321529
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.3,876720.0,105,1544,4,35,0.963302752293578,0.06367495451788963,0.11945392491467577
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.31,878880.0,105,1526,4,53,0.963302752293578,0.06437768240343347,0.1206896551724138
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.32,881880.0,105,1501,4,78,0.963302752293578,0.06537982565379825,0.12244897959183673
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.33,828840.0,103,1463,6,116,0.944954128440367,0.06577266922094509,0.12298507462686567
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.34,719280.0,99,1416,10,163,0.908256880733945,0.06534653465346535,0.12192118226600986
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.35,638880.0,96,1366,13,213,0.8807339449541285,0.06566347469220246,0.12221514958625079
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.36,560280.0,93,1301,16,278,0.8532110091743119,0.0667144906743185,0.12375249500998003
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.37,480360.0,90,1247,19,332,0.8256880733944955,0.06731488406881077,0.12448132780082988
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.38,429960.0,88,1187,21,392,0.8073394495412844,0.06901960784313725,0.12716763005780346
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.39,349320.0,85,1139,24,440,0.7798165137614679,0.06944444444444445,0.1275318829707427
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.4,297840.0,83,1088,26,491,0.7614678899082569,0.07087959009393681,0.1296875
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.41,275400.0,82,1035,27,544,0.7522935779816514,0.07341092211280215,0.13376835236541598
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.42,222480.0,80,996,29,583,0.7339449541284404,0.07434944237918216,0.1350210970464135
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.43,110880.0,76,966,33,613,0.6972477064220184,0.07293666026871401,0.13205907906168549
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.44,87480.0,75,921,34,658,0.6880733944954128,0.07530120481927711,0.13574660633484162
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.45,5640.0,72,883,37,696,0.6605504587155964,0.07539267015706806,0.13533834586466165
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.46,9360.0,72,852,37,727,0.6605504587155964,0.07792207792207792,0.1393998063891578
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.47,-73800.0,69,825,40,754,0.6330275229357798,0.07718120805369127,0.13758723828514458
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.48,-154680.0,66,779,43,800,0.6055045871559633,0.07810650887573964,0.13836477987421383
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.49,-206880.0,64,734,45,845,0.5871559633027523,0.08020050125313283,0.14112458654906285
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.5,-198720.0,64,666,45,913,0.5871559633027523,0.08767123287671233,0.15256257449344457
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.51,-279000.0,61,615,48,964,0.5596330275229358,0.09023668639053255,0.1554140127388535
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.52,-645600.0,48,550,61,1029,0.44036697247706424,0.0802675585284281,0.13578500707213578
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.53,-755160.0,44,503,65,1076,0.4036697247706422,0.08043875685557587,0.13414634146341464
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.54,-834360.0,41,443,68,1136,0.3761467889908257,0.08471074380165289,0.13827993254637436
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.55,-941160.0,37,373,72,1206,0.3394495412844037,0.09024390243902439,0.14258188824662812
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.56,-1077480.0,32,309,77,1270,0.29357798165137616,0.093841642228739,0.14222222222222222
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.57,-1359360.0,22,258,87,1321,0.2018348623853211,0.07857142857142857,0.11311053984575835
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.58,-1412160.0,20,218,89,1361,0.1834862385321101,0.08403361344537816,0.11527377521613832
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.59,-1522680.0,16,179,93,1400,0.14678899082568808,0.08205128205128205,0.10526315789473684
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.6,-1517880.0,16,139,93,1440,0.14678899082568808,0.1032258064516129,0.12121212121212122
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.61,-1571880.0,14,109,95,1470,0.12844036697247707,0.11382113821138211,0.1206896551724138
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.62,-1655400.0,11,85,98,1494,0.10091743119266056,0.11458333333333333,0.1073170731707317
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.63,-1796280.0,6,59,103,1520,0.05504587155963303,0.09230769230769231,0.06896551724137931
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.64,-1823160.0,5,43,104,1536,0.045871559633027525,0.10416666666666667,0.06369426751592357
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.65,-1849800.0,4,25,105,1554,0.03669724770642202,0.13793103448275862,0.057971014492753624
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.66,-1877640.0,3,17,106,1562,0.027522935779816515,0.15,0.046511627906976744
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.67,-1877160.0,3,13,106,1566,0.027522935779816515,0.1875,0.048
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.68,-1905840.0,2,12,107,1567,0.01834862385321101,0.14285714285714285,0.032520325203252036
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.69,-1933920.0,1,6,108,1573,0.009174311926605505,0.14285714285714285,0.017241379310344827
with_billing_zip,BalancedBagging_original,enterprise_customers,18000.0,120.0,10800.0,0.6,150.0,0.01098901098901099,0.7,-1962480.0,0,4,109,1575,0.0,0.0,0.0
